"No.","Time","Source","Destination","Protocol","Length","Info"
"30","0.654013657","52.112.43.55","192.168.29.126","UDP","128","3480  >  43658 Len=86"
"31","0.706303982","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"32","0.738455143","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"33","0.598928132","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"34","0.603954610","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"35","0.654013657","52.112.43.55","192.168.29.126","UDP","130","3480  >  43658 Len=86"
"36","0.706303982","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"37","0.738455143","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"38","0.756317319","192.168.29.126","216.105.38.10","TCP","68","43358  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178858361 TSecr=2828127009"
"39","0.760256444","192.168.29.126","216.105.38.10","TCP","68","43364  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178858365 TSecr=2828127509"
"40","0.760266188","192.168.29.126","216.105.38.13","TCP","68","41900  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2885565701 TSecr=1214805710"
"41","0.760302190","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","88","43616  >  443 [ACK] Seq=1 Ack=1 Win=986 Len=0 TSval=615745656 TSecr=2561601736"
"42","0.765606214","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","88","[TCP ACKed unseen segment] 443  >  43616 [ACK] Seq=1 Ack=2 Win=117 Len=0 TSval=2561648706 TSecr=615698715"
"43","0.803399233","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"44","0.756317319","192.168.29.126","216.105.38.10","TCP","66","[TCP Dup ACK 38#1] 43358  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178858361 TSecr=2828127009"
"45","0.760256444","192.168.29.126","216.105.38.10","TCP","66","[TCP Dup ACK 39#1] 43364  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178858365 TSecr=2828127509"
"46","0.760266188","192.168.29.126","216.105.38.13","TCP","66","[TCP Dup ACK 40#1] 41900  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=2885565701 TSecr=1214805710"
"47","0.760302190","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","86","[TCP Dup ACK 41#1] 43616  >  443 [ACK] Seq=1 Ack=1 Win=986 Len=0 TSval=615745656 TSecr=2561601736"
"48","0.765606214","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","86","[TCP Dup ACK 42#1] [TCP ACKed unseen segment] 443  >  43616 [ACK] Seq=1 Ack=2 Win=117 Len=0 TSval=2561648706 TSecr=615698715"
"49","0.803399233","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"50","0.901022921","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"51","0.920560766","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"52","0.971530321","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"53","1.004892524","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"54","1.010198613","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"55","0.901022921","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"56","0.920560766","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"57","0.971530321","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"58","1.004892524","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"59","1.010198613","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"60","1.108262740","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"61","1.200337405","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"62","1.215383309","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"63","1.239088376","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"64","1.108262740","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"65","1.200337405","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"66","1.215383309","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"67","1.239088376","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"68","1.278949034","192.168.29.126","52.112.43.55","UDP","94","43658  >  3480 Len=50"
"69","1.302575807","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"70","1.304070808","192.168.29.86","224.0.0.22","IGMPv3","56","Membership Report / Join group 224.0.0.251 for any sources"
"71","1.278949034","192.168.29.126","52.112.43.55","UDP","92","43658  >  3480 Len=50"
"72","1.302575807","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"73","1.304070808","192.168.29.86","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"74","1.339282086","192.168.29.126","52.112.43.55","STUN","142","Binding Request user: PgYy:6tmg"
"75","1.354291856","40.78.238.169","192.168.29.126","TLSv1.2","100","Application Data"
"76","1.354327750","192.168.29.126","40.78.238.169","TCP","66","41482  >  443 [ACK] Seq=1 Ack=35 Win=501 Len=0 TSval=1036577922 TSecr=4066626513"
"77","1.410362531","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"78","1.484502108","52.112.43.55","192.168.29.126","STUN","114","Binding Success Response XOR-MAPPED-ADDRESS: 49.36.4.131:43658"
"79","1.499892153","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"80","1.502987563","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"81","1.510254969","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"82","1.547227097","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","118","Echo (ping) request id=0x0001, seq=103, hop limit=64 (reply in 83)"
"83","1.554139009","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","118","Echo (ping) reply id=0x0001, seq=103, hop limit=119 (request in 82)"
"84","1.339282086","192.168.29.126","52.112.43.55","STUN","144","Binding Request user: PgYy:6tmg"
"85","1.354291856","40.78.238.169","192.168.29.126","TLSv1.2","102","[TCP Spurious Retransmission] , Application Data"
"86","1.354327750","192.168.29.126","40.78.238.169","TCP","68","[TCP Dup ACK 76#1] 41482  >  443 [ACK] Seq=1 Ack=35 Win=501 Len=0 TSval=1036577922 TSecr=4066626513"
"87","1.410362531","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"88","1.484502108","52.112.43.55","192.168.29.126","STUN","116","Binding Success Response XOR-MAPPED-ADDRESS: 49.36.4.131:43658"
"89","1.499892153","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"90","1.502987563","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"91","1.510254969","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"92","1.547227097","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","120","Echo (ping) request id=0x0001, seq=103, hop limit=64 (reply in 93)"
"93","1.554139009","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","120","Echo (ping) reply id=0x0001, seq=103, hop limit=119 (request in 92)"
"94","1.607672104","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"95","1.700225048","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"96","1.791176565","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"97","1.802403781","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"98","1.807651626","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"99","1.607672104","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"100","1.700225048","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"101","1.791176565","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"102","1.802403781","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"103","1.807651626","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"104","1.911293761","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"105","2.009392461","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"106","1.911293761","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"107","1.952403511","127.0.0.1","127.0.0.1","UDP","74","36386  >  36386 Len=32"
"108","1.952403511","127.0.0.1","127.0.0.1","UDP","76","36386  >  36386 Len=32"
"109","1.963486637","127.0.0.1","127.0.0.1","UDP","68","36386  >  36386 Len=24"
"110","1.964661147","127.0.0.1","127.0.0.1","UDP","76","36386  >  36386 Len=32"
"111","1.975211628","127.0.0.1","127.0.0.1","UDP","980","36386  >  36386 Len=936"
"112","1.975229068","127.0.0.1","127.0.0.1","UDP","420","36386  >  36386 Len=376"
"113","1.975234142","127.0.0.1","127.0.0.1","UDP","532","36386  >  36386 Len=488"
"114","1.963486637","127.0.0.1","127.0.0.1","UDP","66","36386  >  36386 Len=24"
"115","1.964661147","127.0.0.1","127.0.0.1","UDP","74","36386  >  36386 Len=32"
"116","1.975211628","127.0.0.1","127.0.0.1","UDP","978","36386  >  36386 Len=936"
"117","1.975229068","127.0.0.1","127.0.0.1","UDP","418","36386  >  36386 Len=376"
"118","1.975234142","127.0.0.1","127.0.0.1","UDP","530","36386  >  36386 Len=488"
"119","2.009392461","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"120","2.107165925","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"121","2.133623179","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"122","2.157638395","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"123","2.205062848","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"124","2.303217602","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"125","2.310752430","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"126","2.107165925","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"127","2.133623179","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"128","2.157638395","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"129","2.205062848","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"130","2.303217602","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"131","2.310752430","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"132","2.406143101","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"133","2.423055151","192.168.29.126","52.112.43.55","UDP","92","43658  >  3480 Len=50"
"134","2.423152261","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"135","2.457825790","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"136","2.468034905","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"137","2.485851949","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"138","2.509220545","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"139","2.548337184","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","118","Echo (ping) request id=0x0001, seq=104, hop limit=64 (reply in 140)"
"140","2.555837301","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","118","Echo (ping) reply id=0x0001, seq=104, hop limit=119 (request in 139)"
"141","2.406143101","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"142","2.423055151","192.168.29.126","52.112.43.55","UDP","94","43658  >  3480 Len=50"
"143","2.423152261","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"144","2.457825790","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"145","2.468034905","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"146","2.485851949","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"147","2.509220545","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"148","2.548337184","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","120","Echo (ping) request id=0x0001, seq=104, hop limit=64 (reply in 149)"
"149","2.555837301","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","120","Echo (ping) reply id=0x0001, seq=104, hop limit=119 (request in 148)"
"150","2.608218369","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"151","2.608218369","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"152","2.612665819","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"153","2.710927624","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"154","2.729846620","52.112.43.55","192.168.29.126","UDP","128","3480  >  43658 Len=86"
"155","2.803280190","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"156","2.808259096","192.168.29.126","216.105.38.10","TCP","66","43362  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178860413 TSecr=2828128510"
"157","2.808272860","192.168.29.126","216.105.38.10","TCP","66","43356  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178860413 TSecr=2828129519"
"158","2.612665819","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"159","2.710927624","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"160","2.729846620","52.112.43.55","192.168.29.126","UDP","130","3480  >  43658 Len=86"
"161","2.803280190","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"162","2.808259096","192.168.29.126","216.105.38.10","TCP","68","[TCP Dup ACK 156#1] 43362  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178860413 TSecr=2828128510"
"163","2.808272860","192.168.29.126","216.105.38.10","TCP","68","[TCP Dup ACK 157#1] 43356  >  80 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=3178860413 TSecr=2828129519"
"164","2.863984113","192.168.29.126","52.112.43.55","UDP","114","43658  >  3480 Len=70"
"165","2.863984113","192.168.29.126","52.112.43.55","UDP","112","43658  >  3480 Len=70"
"166","2.910916884","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"167","2.935922882","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"168","3.008931055","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"169","3.011048169","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"170","3.033826380","192.168.29.126","52.112.43.55","UDP","92","43658  >  3480 Len=50"
"171","3.085018400","52.112.43.55","192.168.29.126","UDP","84","3480  >  43658 Len=42"
"172","3.085018593","52.112.43.55","192.168.29.126","UDP","172","3480  >  43658 Len=130"
"173","2.910916884","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"174","2.935922882","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"175","3.008931055","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"176","3.011048169","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"177","3.033826380","192.168.29.126","52.112.43.55","UDP","94","43658  >  3480 Len=50"
"178","3.085018400","52.112.43.55","192.168.29.126","UDP","86","3480  >  43658 Len=42"
"179","3.085018593","52.112.43.55","192.168.29.126","UDP","174","3480  >  43658 Len=130"
"180","3.106862539","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"181","3.106862539","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"182","3.147313141","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"183","3.201360592","192.168.29.1","192.168.29.126","ECHO","43","Request"
"184","3.201408812","192.168.29.126","192.168.29.1","ICMP","71","Destination unreachable (Port unreachable)"
"185","3.204508224","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"186","3.276181366","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"187","3.294574283","52.112.43.55","192.168.29.126","UDP","116","3480  >  43658 Len=74"
"188","3.301867462","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"189","3.147313141","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"190","3.201360592","192.168.29.1","192.168.29.126","ECHO","45","Request"
"191","3.201408812","192.168.29.126","192.168.29.1","ICMP","73","Destination unreachable (Port unreachable)"
"192","3.204508224","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"193","3.276181366","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"194","3.294574283","52.112.43.55","192.168.29.126","UDP","118","3480  >  43658 Len=74"
"195","3.301867462","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"196","3.351946520","Arcadyan_74:2a:ff","","ARP","44","Who has 192.168.29.225? Tell 192.168.29.1"
"197","3.353088398","Arcadyan_74:2a:ff","","ARP","44","Who has 192.168.29.3? Tell 192.168.29.1"
"198","3.354080179","Arcadyan_74:2a:ff","","ARP","44","Who has 192.168.29.29? Tell 192.168.29.1"
"199","3.351946520","Arcadyan_74:2a:ff","Broadcast","ARP","42","Who has 192.168.29.225? Tell 192.168.29.1"
"200","3.353088398","Arcadyan_74:2a:ff","Broadcast","ARP","42","Who has 192.168.29.3? Tell 192.168.29.1"
"201","3.354080179","Arcadyan_74:2a:ff","Broadcast","ARP","42","Who has 192.168.29.29? Tell 192.168.29.1"
"202","3.388825671","52.114.14.61","192.168.29.126","TLSv1.2","452","Application Data"
"203","3.410041448","192.168.29.126","52.114.14.61","TLSv1.2","239","Application Data"
"204","3.410264016","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"205","3.467785575","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"206","3.509858637","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"207","3.527008508","52.114.14.61","192.168.29.126","TCP","56","443  >  36420 [ACK] Seq=399 Ack=186 Win=2052 Len=0"
"208","3.548209527","192.168.29.126","52.112.43.55","UDP","64","43658  >  3480 Len=22"
"209","3.550158007","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","118","Echo (ping) request id=0x0001, seq=105, hop limit=64 (reply in 210)"
"210","3.562657251","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","118","Echo (ping) reply id=0x0001, seq=105, hop limit=119 (request in 209)"
"211","3.603564197","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"212","3.388825671","52.114.14.61","192.168.29.126","TLSv1.2","454","[TCP Spurious Retransmission] , Application Data"
"213","3.410041448","192.168.29.126","52.114.14.61","TCP","241","[TCP Retransmission] 36420  >  443 [PSH, ACK] Seq=1 Ack=399 Win=4332 Len=185"
"214","3.410264016","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"215","3.467785575","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"216","3.509858637","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"217","3.527008508","52.114.14.61","192.168.29.126","TCP","58","443  >  36420 [ACK] Seq=399 Ack=186 Win=2052 Len=0"
"218","3.548209527","192.168.29.126","52.112.43.55","UDP","66","43658  >  3480 Len=22"
"219","3.550158007","2405:201:1f:8bb:7481:ef58:dd6:3a02","2404:6800:4009:808::200e","ICMPv6","120","Echo (ping) request id=0x0001, seq=105, hop limit=64 (reply in 220)"
"220","3.562657251","2404:6800:4009:808::200e","2405:201:1f:8bb:7481:ef58:dd6:3a02","ICMPv6","120","Echo (ping) reply id=0x0001, seq=105, hop limit=119 (request in 219)"
"221","3.603564197","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"222","3.640497682","192.168.29.126","52.112.43.55","UDP","92","43658  >  3480 Len=50"
"223","3.648335956","192.168.29.126","52.114.12.150","STUN","62","Binding Request"
"224","3.701749781","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"225","3.742095977","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","1466","443  >  43568 [ACK] Seq=1 Ack=128 Win=489 Len=1380 TSval=303061120 TSecr=615745174 [TCP segment of a reassembled PDU]"
"226","3.640497682","192.168.29.126","52.112.43.55","UDP","94","43658  >  3480 Len=50"
"227","3.742114406","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","86","43568  >  443 [ACK] Seq=128 Ack=1381 Win=501 Len=0 TSval=615748638 TSecr=303061120"
"228","3.744683632","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TLSv1.2","296","Application Data, Application Data"
"229","3.648335956","192.168.29.126","52.114.12.150","STUN","64","Binding Request"
"230","3.744695584","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","86","43568  >  443 [ACK] Seq=128 Ack=1591 Win=501 Len=0 TSval=615748641 TSecr=303061120"
"231","3.701749781","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"232","3.742095977","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","1468","[TCP Spurious Retransmission] 443  >  43568 [ACK] Seq=1 Ack=128 Win=489 Len=1380 TSval=303061120 TSecr=615745174"
"233","3.742114406","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","88","43568  >  443 [ACK] Seq=128 Ack=1381 Win=501 Len=0 TSval=615748638 TSecr=303061120"
"234","3.772525050","52.114.12.150","192.168.29.126","STUN","74","Binding Success Response XOR-MAPPED-ADDRESS: 49.36.4.131:43658"
"235","3.744683632","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","298","[TCP Retransmission] 443  >  43568 [PSH, ACK] Seq=1381 Ack=128 Win=489 Len=210 TSval=303061120 TSecr=615745174"
"236","3.744695584","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","88","43568  >  443 [ACK] Seq=128 Ack=1591 Win=501 Len=0 TSval=615748641 TSecr=303061120"
"237","3.772525050","52.114.12.150","192.168.29.126","STUN","76","Binding Success Response XOR-MAPPED-ADDRESS: 49.36.4.131:43658"
"238","3.799914207","192.168.29.126","52.112.43.55","UDP","83","43658  >  3480 Len=39"
"239","3.799914207","192.168.29.126","52.112.43.55","UDP","81","43658  >  3480 Len=39"
"240","3.835516732","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TLSv1.2","1678","Application Data, Application Data"
"241","3.835516732","2a03:2880:f22f:c5:face:b00c:0:167","2405:201:1f:8bb:7481:ef58:dd6:3a02","TCP","1676","[TCP Retransmission] 443  >  43568 [PSH, ACK] Seq=1591 Ack=128 Win=489 Len=1590 TSval=303061198 TSecr=615748641"
"242","3.835546675","2405:201:1f:8bb:7481:ef58:dd6:3a02","2a03:2880:f22f:c5:face:b00c:0:167","TCP","88","43568  >  443 [ACK] Seq=128 Ack=3181 Win=493 Len=0 TSval=615748732 TSecr=303061198"
